Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	67002	1	OK	0.7018635	-0.4137253	0.3553629	0.4581880	-73.031	87.694	457.676	0.1991799	0
1	Port 2: NDI 8700340  s/n:34802401	67003	1	OK	0.7033338	-0.4106820	0.3578309	0.4567482	-71.365	87.481	457.632	0.1959095	0
1	Port 2: NDI 8700340  s/n:34802401	67004	1	OK	0.7044521	-0.4084381	0.3614350	0.4541918	-69.873	87.193	457.647	0.2105096	0
1	Port 2: NDI 8700340  s/n:34802401	67005	1	OK	0.7057696	-0.4052127	0.3641997	0.4528250	-68.412	86.997	457.298	0.2122516	0
1	Port 2: NDI 8700340  s/n:34802401	67006	1	OK	0.7059284	-0.4022120	0.3688103	0.4515192	-66.909	86.691	457.092	0.2052984	0
1	Port 2: NDI 8700340  s/n:34802401	67007	1	OK	0.7067366	-0.4001441	0.3727914	0.4488147	-65.338	86.420	456.846	0.2023231	0
1	Port 2: NDI 8700340  s/n:34802401	67008	1	OK	0.7071066	-0.3972601	0.3772507	0.4470644	-63.792	86.227	456.432	0.2024320	0
1	Port 2: NDI 8700340  s/n:34802401	67009	1	OK	0.7053973	-0.3927761	0.3834112	0.4484835	-62.299	85.986	455.954	0.2088745	0
1	Port 2: NDI 8700340  s/n:34802401	67010	1	OK	0.7039658	-0.3884581	0.3893260	0.4493971	-60.791	85.800	455.338	0.2171500	0
1	Port 2: NDI 8700340  s/n:34802401	67011	1	OK	0.7022936	-0.3844844	0.3954888	0.4500489	-59.235	85.620	454.656	0.1888763	0
1	Port 2: NDI 8700340  s/n:34802401	67012	1	OK	0.7027663	-0.3825830	0.4003219	0.4466454	-57.693	85.299	454.031	0.2095753	0
1	Port 2: NDI 8700340  s/n:34802401	67013	1	OK	0.7040833	-0.3823533	0.4046326	0.4408458	-55.899	85.032	453.393	0.2104206	0
1	Port 2: NDI 8700340  s/n:34802401	67014	1	OK	0.7054175	-0.3812062	0.4079371	0.4366409	-54.188	84.816	452.415	0.2147643	0
1	Port 2: NDI 8700340  s/n:34802401	67015	1	OK	0.7065041	-0.3805126	0.4114657	0.4321552	-52.405	84.607	451.443	0.1984001	0
1	Port 2: NDI 8700340  s/n:34802401	67016	1	OK	0.7076614	-0.3807732	0.4146314	0.4269753	-50.829	84.273	450.466	0.1987283	0
1	Port 2: NDI 8700340  s/n:34802401	67017	1	OK	0.7094076	-0.3825889	0.4179548	0.4191424	-49.277	84.004	449.591	0.2115691	0
1	Port 2: NDI 8700340  s/n:34802401	67018	1	OK	0.7101326	-0.3831871	0.4217177	0.4135620	-47.670	83.959	448.409	0.1951901	0
1	Port 2: NDI 8700340  s/n:34802401	67019	1	OK	0.7103499	-0.3830996	0.4249850	0.4099092	-46.414	83.625	447.058	0.1962071	0
1	Port 2: NDI 8700340  s/n:34802401	67020	1	OK	0.7108633	-0.3849329	0.4286387	0.4034462	-44.799	83.444	445.891	0.2041091	0
1	Port 2: NDI 8700340  s/n:34802401	67021	1	OK	0.7121286	-0.3871682	0.4312345	0.3962454	-43.631	83.122	444.598	0.1915131	0
1	Port 2: NDI 8700340  s/n:34802401	67022	1	OK	0.7114900	-0.3883530	0.4358942	0.3911011	-41.986	83.256	443.290	0.1980173	0
1	Port 2: NDI 8700340  s/n:34802401	67023	1	OK	0.7122042	-0.3907700	0.4381681	0.3848022	-41.070	82.769	441.854	0.1972090	0
1	Port 2: NDI 8700340  s/n:34802401	67024	1	OK	0.7111443	-0.3924413	0.4426512	0.3798995	-39.801	82.652	440.421	0.1950380	0
1	Port 2: NDI 8700340  s/n:34802401	67025	1	OK	0.7112990	-0.3946768	0.4450570	0.3744439	-38.501	82.509	438.762	0.1959090	0
1	Port 2: NDI 8700340  s/n:34802401	67026	1	OK	0.7111065	-0.3978213	0.4482448	0.3676171	-37.379	82.326	437.294	0.1982924	0
1	Port 2: NDI 8700340  s/n:34802401	67027	1	OK	0.7107490	-0.4014961	0.4509823	0.3609041	-36.408	82.148	435.767	0.1866508	0
1	Port 2: NDI 8700340  s/n:34802401	67028	1	OK	0.7106241	-0.4049112	0.4530528	0.3546878	-35.303	82.075	434.010	0.2114621	0
1	Port 2: NDI 8700340  s/n:34802401	67029	1	OK	0.7094546	-0.4084038	0.4559659	0.3492501	-34.326	81.914	432.354	0.1956574	0
1	Port 2: NDI 8700340  s/n:34802401	67030	1	OK	0.7087740	-0.4130476	0.4583000	0.3420412	-33.840	81.794	430.729	0.1830914	0
1	Port 2: NDI 8700340  s/n:34802401	67031	1	OK	0.7071045	-0.4165651	0.4611553	0.3373611	-32.812	81.836	428.971	0.2053207	0
